# ================================================================================
# Inverse Physics Learning from Camera Projections - Experiment Results
# Target: E*=400, nu=0.4, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# ================================================================================

## SECTION 1: Per-Epoch Training Data
task,method,epoch,loss,E_pred,E_abs_error,dL_dE_est,epoch_time_s,E_true,nu_true,N_particles,N_steps
Baseline_3D,FD,194,2.170954e-10,400.033813,0.033813,1.689368e-11,0.411,400.0,0.400,8192,64
Baseline_3D,FD,195,2.147243e-10,400.033112,0.033112,2.371117e-12,0.432,400.0,0.400,8192,64
Baseline_3D,FD,196,1.994078e-10,400.032501,0.032501,1.531648e-11,0.412,400.0,0.400,8192,64
Baseline_3D,FD,197,1.912389e-10,400.031952,0.031952,8.168910e-12,0.412,400.0,0.400,8192,64
Baseline_3D,FD,198,1.934328e-10,400.031464,0.031464,2.193926e-12,0.410,400.0,0.400,8192,64
Baseline_3D,FD,199,1.865114e-10,400.031067,0.031067,6.921422e-12,0.420,400.0,0.400,8192,64
Camera_2D,FD,0,2.673982e-06,424.829498,24.829498,4.007939e-08,15.453,400.0,0.400,8192,64
Camera_2D,FD,1,2.633903e-06,424.667267,24.667267,4.007939e-08,0.537,400.0,0.400,8192,64
Camera_2D,FD,2,2.600260e-06,424.504425,24.504425,3.364221e-08,0.486,400.0,0.400,8192,64
Camera_2D,FD,3,2.576599e-06,424.340210,24.340210,2.366119e-08,0.471,400.0,0.400,8192,64
Camera_2D,FD,4,2.542711e-06,424.173981,24.173981,3.388845e-08,0.482,400.0,0.400,8192,64
Camera_2D,FD,5,2.508039e-06,424.004883,24.004883,3.467198e-08,0.477,400.0,0.400,8192,64
Camera_2D,FD,6,2.476955e-06,423.832092,23.832092,3.108357e-08,0.493,400.0,0.400,8192,64
Camera_2D,FD,7,2.448725e-06,423.654938,23.654938,2.822981e-08,0.478,400.0,0.400,8192,64
Camera_2D,FD,8,2.402708e-06,423.472626,23.472626,4.601725e-08,0.476,400.0,0.400,8192,64
Camera_2D,FD,9,2.364163e-06,423.284424,23.284424,3.854552e-08,0.481,400.0,0.400,8192,64
Camera_2D,FD,10,2.330930e-06,423.089600,23.089600,3.323271e-08,0.510,400.0,0.400,8192,64
Camera_2D,FD,11,2.289871e-06,422.887848,22.887848,4.105937e-08,0.492,400.0,0.400,8192,64
Camera_2D,FD,12,2.253950e-06,422.678986,22.678986,3.592072e-08,0.490,400.0,0.400,8192,64
Camera_2D,FD,13,2.212793e-06,422.462860,22.462860,4.115668e-08,0.485,400.0,0.400,8192,64
Camera_2D,FD,14,2.168130e-06,422.239166,22.239166,4.466301e-08,0.479,400.0,0.400,8192,64
Camera_2D,FD,15,2.125126e-06,422.007385,22.007385,4.300387e-08,0.491,400.0,0.400,8192,64
Camera_2D,FD,16,2.087164e-06,421.767273,21.767273,3.796231e-08,0.473,400.0,0.400,8192,64
Camera_2D,FD,17,2.047541e-06,421.518463,21.518463,3.962259e-08,0.488,400.0,0.400,8192,64
Camera_2D,FD,18,2.006755e-06,421.260712,21.260712,4.078584e-08,0.477,400.0,0.400,8192,64
Camera_2D,FD,19,1.959543e-06,420.993866,20.993866,4.721255e-08,0.482,400.0,0.400,8192,64
Camera_2D,FD,20,1.920363e-06,420.717255,20.717255,3.917967e-08,0.476,400.0,0.400,8192,64
Camera_2D,FD,21,1.872367e-06,420.430573,20.430573,4.799676e-08,0.508,400.0,0.400,8192,64
